,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,ProcessSize,TransistorSize,DieSize
856,CPU,130.0,110.0,237.0,178.0,3200,Intel,Slightly Compact(),Approaching Subatomic(),Most Useable Space
857,CPU,45.0,65.0,82.0,228.0,3333,Intel,Highly Compact(),Approaching Subatomic(),Least Useable Space
858,CPU,45.0,65.0,117.0,410.0,3300,AMD,Highly Compact(),Approaching Subatomic(),Some Usable Space
859,CPU,65.0,95.0,285.0,450.0,2200,AMD,Compact(),Microminiature(),Most Useable Space
860,CPU,90.0,22.0,125.0,114.0,1600,AMD,Compact(),Infinitesimal(),Some Usable Space
861,CPU,45.0,130.0,263.0,731.0,3066,Intel,Highly Compact(),Microminiature(),Most Useable Space
862,CPU,14.0,120.0,213.0,4800.0,2100,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
863,CPU,7.0,35.0,156.0,9800.0,3000,AMD,Extremely Compact(),Microscopic(),Some Usable Space
864,CPU,32.0,25.0,246.0,1178.0,2000,AMD,Extremely Compact(),Microminiature(),Most Useable Space
865,CPU,22.0,45.0,160.0,1400.0,2500,Intel,Extremely Compact(),Microscopic(),Some Usable Space
866,CPU,22.0,54.0,177.0,1400.0,2200,Intel,Extremely Compact(),Microscopic(),Considerable Useable Space
867,CPU,45.0,65.0,82.0,228.0,2700,Intel,Highly Compact(),Approaching Subatomic(),Least Useable Space
868,CPU,130.0,68.0,101.0,63.0,1833,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
869,CPU,32.0,100.0,228.0,1178.0,2600,AMD,Extremely Compact(),Microminiature(),Most Useable Space
870,CPU,90.0,89.0,156.0,154.0,2000,AMD,Compact(),Approaching Subatomic(),Some Usable Space
871,CPU,130.0,89.0,193.0,106.0,2200,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
872,CPU,32.0,45.0,216.0,1160.0,2200,Intel,Extremely Compact(),Microminiature(),Considerable Useable Space
873,CPU,45.0,95.0,346.0,904.0,2600,AMD,Highly Compact(),Microminiature(),Most Useable Space
874,CPU,90.0,62.0,84.0,63.0,2000,AMD,Compact(),Infinitesimal(),Least Useable Space
875,CPU,90.0,35.0,183.0,154.0,2200,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
876,CPU,14.0,65.0,192.0,4800.0,3200,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
877,CPU,130.0,89.0,144.0,69.0,2000,AMD,Slightly Compact(),Infinitesimal(),Some Usable Space
878,CPU,130.0,32.0,144.0,69.0,1800,AMD,Slightly Compact(),Infinitesimal(),Some Usable Space
879,CPU,90.0,25.0,125.0,114.0,2200,AMD,Compact(),Infinitesimal(),Some Usable Space
880,CPU,32.0,95.0,239.0,1170.0,3066,Intel,Extremely Compact(),Microminiature(),Most Useable Space
881,CPU,32.0,17.0,131.0,504.0,1500,Intel,Extremely Compact(),Microminiature(),Some Usable Space
882,CPU,65.0,125.0,285.0,450.0,2600,AMD,Compact(),Microminiature(),Most Useable Space
883,CPU,45.0,45.0,169.0,300.0,2700,AMD,Highly Compact(),Approaching Subatomic(),Considerable Useable Space
884,CPU,130.0,45.0,101.0,63.0,1800,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
885,CPU,45.0,130.0,263.0,731.0,3200,Intel,Highly Compact(),Microminiature(),Most Useable Space
886,CPU,65.0,65.0,77.0,105.0,2000,Intel,Compact(),Infinitesimal(),Least Useable Space
887,CPU,32.0,80.0,239.0,1170.0,2666,Intel,Extremely Compact(),Microminiature(),Most Useable Space
888,CPU,32.0,35.0,228.0,1178.0,2100,AMD,Extremely Compact(),Microminiature(),Most Useable Space
889,CPU,7.0,25.0,156.0,9800.0,2700,AMD,Extremely Compact(),Microscopic(),Some Usable Space
890,CPU,90.0,73.0,109.0,125.0,3060,Intel,Compact(),Infinitesimal(),Least Useable Space
891,CPU,90.0,35.0,103.0,81.0,1600,AMD,Compact(),Infinitesimal(),Least Useable Space
892,CPU,65.0,45.0,77.0,122.0,2700,AMD,Compact(),Infinitesimal(),Least Useable Space
893,CPU,130.0,89.0,193.0,106.0,2200,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
894,CPU,32.0,35.0,131.0,504.0,2100,Intel,Extremely Compact(),Microminiature(),Some Usable Space
895,CPU,45.0,45.0,169.0,300.0,2500,AMD,Highly Compact(),Approaching Subatomic(),Considerable Useable Space
896,CPU,130.0,68.0,131.0,55.0,2800,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
897,CPU,32.0,35.0,81.0,384.0,2800,Intel,Extremely Compact(),Approaching Subatomic(),Least Useable Space
898,CPU,32.0,130.0,239.0,1170.0,3466,Intel,Extremely Compact(),Microminiature(),Most Useable Space
899,CPU,130.0,63.0,80.0,37.0,1800,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
900,CPU,28.0,65.0,246.0,1178.0,3500,AMD,Extremely Compact(),Microminiature(),Most Useable Space
901,CPU,130.0,89.0,193.0,105.0,2400,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
902,CPU,22.0,65.0,177.0,1400.0,2900,Intel,Extremely Compact(),Microscopic(),Considerable Useable Space
903,CPU,130.0,89.0,193.0,106.0,2400,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
904,CPU,32.0,115.0,316.0,2400.0,2100,AMD,Extremely Compact(),Microscopic(),Most Useable Space
905,CPU,22.0,140.0,356.0,2600.0,3500,Intel,Extremely Compact(),Microscopic(),Most Useable Space
906,CPU,90.0,32.0,125.0,114.0,1600,AMD,Compact(),Infinitesimal(),Some Usable Space
907,CPU,22.0,37.0,118.0,1400.0,2400,Intel,Extremely Compact(),Microscopic(),Some Usable Space
908,CPU,130.0,35.0,131.0,55.0,2600,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
909,CPU,65.0,35.0,77.0,105.0,1800,Intel,Compact(),Infinitesimal(),Least Useable Space
910,CPU,130.0,82.0,193.0,106.0,1400,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
911,CPU,32.0,45.0,216.0,1160.0,2400,Intel,Extremely Compact(),Microminiature(),Considerable Useable Space
912,CPU,65.0,65.0,77.0,105.0,2200,Intel,Compact(),Infinitesimal(),Least Useable Space
913,CPU,22.0,37.0,118.0,1400.0,2800,Intel,Extremely Compact(),Microscopic(),Some Usable Space
914,CPU,130.0,70.0,131.0,55.0,3067,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
915,CPU,32.0,35.0,246.0,1178.0,2900,AMD,Extremely Compact(),Microminiature(),Most Useable Space
916,CPU,45.0,60.0,263.0,731.0,2133,Intel,Highly Compact(),Microminiature(),Most Useable Space
917,CPU,32.0,80.0,239.0,1170.0,2400,Intel,Extremely Compact(),Microminiature(),Most Useable Space
918,CPU,28.0,35.0,246.0,1178.0,3000,AMD,Extremely Compact(),Microminiature(),Most Useable Space
919,CPU,65.0,31.0,90.0,151.0,1992,Intel,Compact(),Approaching Subatomic(),Least Useable Space
920,CPU,22.0,165.0,160.0,1400.0,2500,Intel,Extremely Compact(),Microscopic(),Some Usable Space
921,CPU,130.0,92.0,146.0,55.0,2600,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
922,CPU,130.0,62.0,101.0,63.0,1667,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
923,CPU,14.0,65.0,192.0,4800.0,3000,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
924,CPU,130.0,32.0,144.0,69.0,1800,AMD,Slightly Compact(),Infinitesimal(),Some Usable Space
925,CPU,32.0,130.0,435.0,2270.0,3300,Intel,Extremely Compact(),Microscopic(),Most Useable Space
926,CPU,45.0,95.0,346.0,904.0,2700,AMD,Highly Compact(),Microminiature(),Most Useable Space
927,CPU,32.0,35.0,246.0,1178.0,1900,AMD,Extremely Compact(),Microminiature(),Most Useable Space
928,CPU,22.0,95.0,160.0,1400.0,2200,Intel,Extremely Compact(),Microscopic(),Some Usable Space
929,CPU,130.0,82.0,131.0,55.0,3000,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
930,CPU,90.0,110.0,199.0,233.0,2600,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
931,CPU,14.0,65.0,192.0,4800.0,3100,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
932,CPU,14.0,50.0,213.0,4800.0,2500,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
933,CPU,32.0,3.0,65.0,140.0,1800,Intel,Extremely Compact(),Approaching Subatomic(),Least Useable Space
934,CPU,22.0,54.0,177.0,1400.0,3200,Intel,Extremely Compact(),Microscopic(),Considerable Useable Space
935,CPU,32.0,25.0,246.0,1178.0,2100,AMD,Extremely Compact(),Microminiature(),Most Useable Space
936,CPU,32.0,35.0,81.0,382.0,2667,Intel,Extremely Compact(),Approaching Subatomic(),Least Useable Space
