,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
199,GPU,14.0,75.0,123.0,3000.0,850,AMD,1306.0,1306.0,81.6
200,GPU,14.0,50.0,123.0,3000.0,1090,AMD,2150.0,2150.0,134.4
201,GPU,14.0,130.0,232.0,5700.0,1120,AMD,5700.0,5700.0,356.3
202,GPU,14.0,15.0,210.0,4940.0,300,AMD,3584.0,1792.0,112.0
203,GPU,14.0,100.0,232.0,5700.0,1000,AMD,4963.0,4963.0,310.2
204,GPU,14.0,18.0,74.0,1800.0,1303,NVIDIA,17.92,1147.0,35.83
205,GPU,28.0,75.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
206,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
207,GPU,14.0,175.0,232.0,5700.0,1257,AMD,6359.0,6359.0,397.4
208,GPU,14.0,10.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
209,GPU,12.0,50.0,200.0,4700.0,1065,NVIDIA,5000.0,2500.0,78.12
210,GPU,14.0,18.0,74.0,1800.0,1455,NVIDIA,12.14,777.2,24.29
211,GPU,12.0,75.0,200.0,4700.0,1485,NVIDIA,5967.0,2984.0,93.24
212,GPU,12.0,185.0,445.0,10800.0,1470,NVIDIA,15210.0,7603.0,237.6
213,GPU,14.0,75.0,132.0,3300.0,1493,NVIDIA,38.88,2488.0,77.76
214,GPU,12.0,125.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
215,GPU,14.0,75.0,132.0,3300.0,1354,NVIDIA,29.1,1862.0,58.2
216,GPU,28.0,75.0,366.0,5000.0,723,AMD,2961.0,2961.0,185.1
217,GPU,20.0,15.0,118.0,2000.0,384,NVIDIA,786.4,393.2,12.29
218,GPU,16.0,90.0,314.0,7200.0,1012,NVIDIA,96.38,6169.0,192.8
219,GPU,16.0,250.0,471.0,11800.0,1481,NVIDIA,177.2,11340.0,354.4
220,GPU,14.0,100.0,232.0,5700.0,1000,AMD,4963.0,4963.0,310.2
221,GPU,14.0,15.0,210.0,4940.0,300,AMD,1966.0,983.0,61.44
222,GPU,14.0,65.0,123.0,3000.0,1275,AMD,2611.0,2611.0,163.2
223,GPU,28.0,275.0,596.0,8900.0,1000,AMD,7168.0,7168.0,448.0
224,GPU,16.0,75.0,314.0,7200.0,1139,NVIDIA,78.62,5032.0,157.2
225,GPU,14.0,75.0,123.0,3000.0,1175,AMD,2611.0,2611.0,163.2
226,GPU,14.0,65.0,123.0,3000.0,1223,AMD,2192.0,2192.0,137.0
227,GPU,14.0,65.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
228,GPU,12.0,115.0,445.0,10800.0,1260,NVIDIA,13410.0,6705.0,209.5
229,GPU,14.0,40.0,132.0,3300.0,1266,NVIDIA,21.66,1386.0,43.33
230,GPU,14.0,65.0,123.0,3000.0,1275,AMD,2611.0,2611.0,163.2
231,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15900.0,7949.0,496.8
232,GPU,14.0,150.0,232.0,5700.0,1000,AMD,3960.0,3960.0,247.5
233,GPU,16.0,120.0,200.0,4400.0,1506,NVIDIA,68.36,4375.0,136.7
234,GPU,14.0,15.0,210.0,4940.0,300,AMD,3942.0,1971.0,123.2
235,GPU,14.0,65.0,208.0,5000.0,931,AMD,2588.0,2588.0,161.8
236,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
237,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2462.0,2462.0,153.9
238,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1247.0,1247.0,77.95
239,GPU,16.0,250.0,471.0,11800.0,1557,NVIDIA,167.0,10690.0,334.0
240,GPU,8.0,170.0,276.0,13250.0,1320,NVIDIA,12740.0,12740.0,199.0
241,GPU,12.0,115.0,445.0,10800.0,960,NVIDIA,9216.0,4608.0,144.0
242,GPU,12.0,215.0,545.0,13600.0,1605,NVIDIA,18120.0,9062.0,283.2
243,GPU,14.0,60.0,123.0,3000.0,1019,AMD,1371.0,1371.0,85.68
244,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
245,GPU,7.0,25.0,156.0,9800.0,300,AMD,3226.0,1613.0,100.8
246,GPU,14.0,10.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
247,GPU,12.0,50.0,200.0,4700.0,1350,NVIDIA,6083.0,3041.0,95.04
248,GPU,14.0,50.0,123.0,3000.0,1002,AMD,1348.0,1348.0,84.24
249,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1647.0,1647.0,103.0
250,GPU,12.0,260.0,754.0,18600.0,1230,NVIDIA,29860.0,14930.0,466.6
251,GPU,14.0,15.0,210.0,4940.0,300,AMD,2560.0,1280.0,80.0
252,GPU,14.0,15.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
253,GPU,12.0,215.0,545.0,13600.0,1515,NVIDIA,20140.0,10070.0,314.6
254,GPU,14.0,75.0,132.0,3300.0,1366,NVIDIA,34.61,2215.0,69.22
255,GPU,14.0,65.0,103.0,2200.0,1082,AMD,1385.0,1385.0,86.56
256,GPU,12.0,30.0,200.0,4700.0,1020,NVIDIA,5100.0,2550.0,79.68
257,GPU,16.0,150.0,314.0,7200.0,1506,NVIDIA,101.0,6463.0,202.0
258,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
259,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
260,GPU,14.0,65.0,103.0,2200.0,1295,AMD,1658.0,1658.0,103.6
261,GPU,7.0,100.0,197.0,8000.0,1565,AMD,8013.0,4006.0,250.4
262,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
263,GPU,7.0,125.0,158.0,6400.0,1744,AMD,10450.0,5224.0,326.5
264,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
265,GPU,16.0,115.0,314.0,7200.0,1215,NVIDIA,88.26,5648.0,176.5
266,GPU,12.0,40.0,200.0,4700.0,1200,NVIDIA,6636.0,3318.0,103.7
267,GPU,14.0,50.0,103.0,2200.0,1082,AMD,1240.0,1240.0,77.5
268,GPU,7.0,180.0,251.0,10300.0,1465,AMD,15850.0,7926.0,495.4
269,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
270,GPU,8.0,80.0,276.0,13250.0,900,NVIDIA,10940.0,10940.0,171.0
271,GPU,28.0,15.0,125.0,1200.0,200,AMD,325.2,325.2,20.33
272,GPU,12.0,115.0,445.0,10800.0,900,NVIDIA,10370.0,5184.0,162.0
273,GPU,14.0,35.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
274,GPU,12.0,18.0,200.0,4700.0,1365,NVIDIA,6075.0,3037.0,94.92
275,GPU,28.0,15.0,125.0,1200.0,200,AMD,553.0,553.0,276.5
276,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
277,GPU,14.0,50.0,123.0,3000.0,1125,AMD,2460.0,2460.0,153.7
278,GPU,14.0,10.0,74.0,1800.0,1519,NVIDIA,12.25,783.9,24.5
279,GPU,12.0,260.0,754.0,18600.0,1065,NVIDIA,25710.0,12860.0,401.8
280,GPU,12.0,80.0,284.0,6600.0,1410,NVIDIA,5699.0,2849.0,89.04
281,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
282,GPU,12.0,110.0,545.0,13600.0,1035,NVIDIA,18980.0,9492.0,296.6
283,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
284,GPU,8.0,320.0,628.0,28300.0,1440,NVIDIA,29770.0,29770.0,465.1
285,GPU,12.0,120.0,284.0,6600.0,1530,NVIDIA,10050.0,5027.0,157.1
286,GPU,7.0,85.0,158.0,6400.0,1000,AMD,6400.0,3200.0,200.0
287,GPU,28.0,265.0,366.0,5000.0,1050,AMD,3763.0,3763.0,235.2
288,GPU,14.0,75.0,123.0,3000.0,1004,AMD,2056.0,2056.0,128.5
289,GPU,7.0,85.0,158.0,6400.0,1375,AMD,9265.0,4632.0,289.5
290,GPU,14.0,25.0,132.0,3300.0,1430,NVIDIA,18.68,1196.0,37.37
291,GPU,12.0,120.0,284.0,6600.0,1500,NVIDIA,10870.0,5437.0,169.9
292,GPU,12.0,80.0,545.0,13600.0,600,NVIDIA,16590.0,8294.0,259.2
293,GPU,14.0,15.0,210.0,4940.0,300,AMD,2995.0,1498.0,93.6
294,GPU,14.0,35.0,123.0,3000.0,855,AMD,1313.0,1313.0,82.08
295,GPU,14.0,75.0,232.0,5700.0,713,AMD,3903.0,3903.0,243.9
296,GPU,14.0,60.0,123.0,3000.0,1019,AMD,1371.0,1371.0,85.68
297,GPU,12.0,100.0,284.0,6600.0,1530,NVIDIA,8832.0,4416.0,138.0
298,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
299,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,68.36,4375.0,136.7
300,GPU,14.0,75.0,123.0,3000.0,907,AMD,1858.0,1858.0,116.1
301,GPU,12.0,50.0,200.0,4700.0,1380,NVIDIA,6205.0,3103.0,96.96
302,GPU,14.0,185.0,232.0,5700.0,1257,AMD,6175.0,6175.0,385.9
303,GPU,14.0,75.0,123.0,3000.0,1175,AMD,2611.0,2611.0,163.2
304,GPU,14.0,150.0,232.0,5700.0,1000,AMD,3960.0,3960.0,247.5
305,GPU,14.0,35.0,210.0,4940.0,300,AMD,3523.0,1761.0,110.1
306,GPU,28.0,50.0,125.0,1550.0,730,AMD,786.4,786.4,49.15
307,GPU,14.0,65.0,123.0,3000.0,1090,AMD,2106.0,2106.0,131.6
308,GPU,12.0,110.0,545.0,13600.0,1110,NVIDIA,15970.0,7987.0,249.6
309,GPU,16.0,150.0,314.0,7200.0,1556,NVIDIA,138.7,8878.0,277.4
310,GPU,14.0,15.0,210.0,4940.0,300,AMD,3584.0,1792.0,112.0
311,GPU,8.0,200.0,392.0,17400.0,1410,NVIDIA,16200.0,16200.0,253.1
312,GPU,28.0,150.0,366.0,5000.0,920,AMD,7537.0,3768.0,235.5
313,GPU,14.0,15.0,210.0,4940.0,300,AMD,3942.0,1971.0,123.2
314,GPU,16.0,150.0,314.0,7200.0,1506,NVIDIA,101.0,6463.0,202.0
315,GPU,14.0,75.0,132.0,3300.0,1354,NVIDIA,29.86,1911.0,59.72
316,GPU,14.0,65.0,103.0,2200.0,925,AMD,1248.0,1248.0,78.02
317,GPU,8.0,80.0,392.0,17400.0,780,NVIDIA,13210.0,13210.0,206.4
318,GPU,14.0,10.0,210.0,4940.0,300,AMD,3331.0,1665.0,104.1
319,GPU,16.0,120.0,314.0,7200.0,1442,NVIDIA,105.3,6738.0,210.6
320,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1240.0,1240.0,77.5
321,GPU,14.0,15.0,210.0,4940.0,300,AMD,845.6,422.8,26.42
322,GPU,14.0,75.0,132.0,3300.0,1000,NVIDIA,22.78,1458.0,45.56
323,GPU,14.0,35.0,210.0,4940.0,300,AMD,3523.0,1761.0,110.1
324,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1211.0,1211.0,75.71
325,GPU,28.0,190.0,366.0,5000.0,918,AMD,3290.0,3290.0,205.6
326,GPU,16.0,80.0,200.0,4400.0,1063,NVIDIA,59.2,3789.0,118.4
327,GPU,16.0,250.0,471.0,11800.0,1405,NVIDIA,189.8,12150.0,379.7
328,GPU,14.0,120.0,232.0,5700.0,926,AMD,4940.0,4940.0,308.7
329,GPU,16.0,105.0,314.0,7200.0,1202,NVIDIA,82.88,5304.0,165.8
330,GPU,14.0,120.0,232.0,5700.0,926,AMD,4322.0,4322.0,270.1
331,GPU,14.0,75.0,132.0,3300.0,1152,NVIDIA,30.98,1983.0,61.97
