,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
1917,4109,GPU,55.0,25.0,73.0,242.0,600,ATI,,96.0,
1918,4110,GPU,130.0,,92.0,76.0,230,ATI,,,
1919,4111,GPU,55.0,130.0,282.0,959.0,700,ATI,,896.0,179.2
1920,4112,GPU,28.0,100.0,294.0,3540.0,706,NVIDIA,,1627.0,67.78
1921,4113,GPU,28.0,50.0,118.0,1270.0,926,NVIDIA,,711.2,29.63
1922,4114,GPU,40.0,15.0,79.0,292.0,475,NVIDIA,,91.2,7.6
1923,4115,GPU,150.0,60.0,218.0,117.0,412,ATI,,,
1924,4116,GPU,65.0,75.0,324.0,754.0,585,NVIDIA,,374.5,
1925,4117,GPU,65.0,70.0,324.0,754.0,500,NVIDIA,,160.0,
1926,4118,GPU,12.0,260.0,754.0,18600.0,1395,NVIDIA,32620.0,16310.0,509.8
1927,4119,GPU,28.0,275.0,438.0,6200.0,1000,AMD,,5120.0,640.0
1928,4120,GPU,55.0,20.0,121.0,314.0,430,NVIDIA,,68.8,
1929,4121,GPU,80.0,27.0,100.0,107.0,635,ATI,,,
1930,4122,GPU,65.0,50.0,153.0,390.0,800,ATI,,192.0,
1931,4123,GPU,55.0,165.0,192.0,666.0,825,ATI,,528.0,105.6
1932,4124,GPU,14.0,50.0,123.0,3000.0,1002,AMD,1348.0,1348.0,84.24
1933,4125,GPU,28.0,32.0,118.0,1270.0,709,NVIDIA,,544.5,22.69
1934,4126,GPU,28.0,45.0,148.0,1870.0,902,NVIDIA,,1198.0,37.44
1935,4127,GPU,150.0,,101.0,36.0,275,NVIDIA,,,
1936,4128,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1647.0,1647.0,103.0
1937,4129,GPU,40.0,25.0,57.0,260.0,606,NVIDIA,,46.98,
1938,4130,GPU,110.0,109.0,333.0,302.0,430,NVIDIA,,,
1939,4131,GPU,28.0,40.0,123.0,1500.0,675,AMD,,864.0,54.0
1940,4132,GPU,28.0,,125.0,1550.0,900,AMD,752.6,752.6,47.04
1941,4133,GPU,65.0,,85.0,180.0,350,ATI,,28.0,
1942,4134,GPU,55.0,,256.0,956.0,500,ATI,,800.0,160.0
1943,4135,GPU,150.0,,91.0,45.0,270,NVIDIA,,,
1944,4136,GPU,32.0,65.0,246.0,1303.0,720,AMD,,432.1,
1945,4137,GPU,110.0,33.0,156.0,120.0,425,ATI,,,
1946,4138,GPU,150.0,,174.0,80.0,200,Other,,,
1947,4139,GPU,90.0,13.0,,,667,Intel,,,
1948,4140,GPU,28.0,,123.0,1500.0,575,AMD,,800.0,50.0
1949,4141,GPU,55.0,50.0,121.0,314.0,550,NVIDIA,,44.8,
1950,4142,GPU,110.0,,240.0,160.0,400,ATI,,,
1951,4143,GPU,40.0,20.0,104.0,716.0,600,AMD,,576.0,
1952,4144,GPU,90.0,150.0,484.0,681.0,500,NVIDIA,,268.8,
1953,4145,GPU,12.0,260.0,754.0,18600.0,1230,NVIDIA,29860.0,14930.0,466.6
1954,4146,GPU,55.0,188.0,470.0,1400.0,610,NVIDIA,,622.1,77.76
1955,4147,GPU,40.0,142.0,529.0,3100.0,475,NVIDIA,,486.4,243.2
1956,4148,GPU,90.0,,288.0,321.0,500,ATI,,,
1957,4149,GPU,14.0,15.0,210.0,4940.0,300,AMD,2560.0,1280.0,80.0
1958,4150,GPU,14.0,15.0,210.0,4940.0,300,AMD,922.4,461.2,28.82
1959,4151,GPU,12.0,215.0,545.0,13600.0,1515,NVIDIA,20140.0,10070.0,314.6
1960,4152,GPU,150.0,,174.0,80.0,250,Other,,,
1961,4153,GPU,28.0,275.0,596.0,8900.0,1050,AMD,8602.0,8602.0,537.6
1962,4154,GPU,40.0,35.0,67.0,370.0,875,AMD,,280.0,
1963,4155,GPU,90.0,,,,425,NVIDIA,,,
1964,4156,GPU,22.0,45.0,,,350,Intel,,352.0,88.0
1965,4157,GPU,110.0,,74.0,107.0,350,ATI,,,
1966,4158,GPU,110.0,,110.0,75.0,350,NVIDIA,,,
1967,4159,GPU,110.0,108.0,333.0,302.0,500,NVIDIA,,,
1968,4160,GPU,14.0,75.0,132.0,3300.0,1366,NVIDIA,34.61,2215.0,69.22
1969,4161,GPU,80.0,27.0,100.0,107.0,550,ATI,,,
1970,4162,GPU,90.0,,150.0,157.0,500,ATI,,,
1971,4163,GPU,28.0,85.0,160.0,2080.0,1000,AMD,,1613.0,100.8
1972,4164,GPU,14.0,65.0,103.0,2200.0,1082,AMD,1385.0,1385.0,86.56
1973,4165,GPU,28.0,45.0,118.0,1270.0,835,NVIDIA,,729.6,30.4
1974,4166,GPU,28.0,225.0,294.0,3540.0,745,NVIDIA,,2289.0,95.36
1975,4167,GPU,28.0,225.0,294.0,3540.0,745,NVIDIA,,2289.0,95.36
1976,4168,GPU,12.0,30.0,200.0,4700.0,1020,NVIDIA,5100.0,2550.0,79.68
1977,4169,GPU,16.0,150.0,314.0,7200.0,1506,NVIDIA,101.0,6463.0,202.0
1978,4170,GPU,28.0,33.0,,,928,NVIDIA,,722.7,22.58
1979,4171,GPU,14.0,15.0,210.0,4940.0,300,AMD,768.8,384.4,24.02
1980,4172,GPU,40.0,50.0,166.0,1040.0,700,ATI,,1120.0,
1981,4173,GPU,14.0,150.0,232.0,5700.0,1096,AMD,4489.0,4489.0,280.6
1982,4174,GPU,14.0,65.0,103.0,2200.0,1295,AMD,1658.0,1658.0,103.6
1983,4175,GPU,7.0,100.0,197.0,8000.0,1565,AMD,8013.0,4006.0,250.4
1984,4176,GPU,14.0,50.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
1985,4177,GPU,32.0,35.0,246.0,1303.0,533,AMD,,276.5,
1986,4178,GPU,7.0,125.0,158.0,6400.0,1744,AMD,10450.0,5224.0,326.5
1987,4179,GPU,40.0,29.0,79.0,292.0,874,NVIDIA,,167.8,13.98
1988,4180,GPU,40.0,208.0,334.0,2154.0,825,ATI,,2640.0,528.0
1989,4181,GPU,28.0,130.0,212.0,2800.0,860,AMD,,1761.0,110.1
1990,4182,GPU,14.0,5.0,,,350,Intel,403.2,201.6,50.4
1991,4183,GPU,28.0,85.0,352.0,4313.0,800,AMD,,1229.0,307.2
1992,4184,GPU,180.0,,73.0,30.0,160,ATI,,,
1993,4185,GPU,180.0,,,10.0,125,Other,,,
1994,4186,GPU,28.0,33.0,123.0,1500.0,675,AMD,,691.2,43.2
