,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
1366,1366,CPU,22.0,15.0,118.0,1300.0,1500,Intel
1367,1367,CPU,130.0,82.0,193.0,106.0,1800,AMD
1368,1368,CPU,32.0,35.0,149.0,624.0,2300,Intel
1370,1370,CPU,130.0,82.0,193.0,106.0,1800,AMD
1371,1371,CPU,130.0,30.0,80.0,44.0,1333,Intel
1372,1372,CPU,32.0,130.0,239.0,1170.0,3333,Intel
1375,1375,CPU,45.0,95.0,346.0,904.0,3000,AMD
1377,1377,CPU,7.0,54.0,156.0,9800.0,3200,AMD
1379,1379,CPU,180.0,63.0,120.0,37.0,1133,AMD
1380,1380,CPU,90.0,84.0,109.0,125.0,2800,Intel
1381,1381,CPU,32.0,125.0,315.0,1200.0,4000,AMD
1382,1382,CPU,12.0,15.0,210.0,4940.0,2300,AMD
1385,1385,CPU,45.0,80.0,258.0,758.0,3000,AMD
1386,1386,CPU,65.0,95.0,143.0,582.0,2666,Intel
1387,1387,CPU,22.0,47.0,264.0,1400.0,2500,Intel
1388,1388,CPU,180.0,38.0,120.0,37.0,600,AMD
1389,1389,CPU,45.0,45.0,117.0,410.0,2700,AMD
1390,1390,CPU,90.0,21.0,84.0,140.0,1700,Intel
1391,1391,CPU,65.0,89.0,126.0,154.0,3000,AMD
1393,1393,CPU,32.0,73.0,81.0,382.0,3600,Intel
1394,1394,CPU,90.0,84.0,109.0,125.0,2660,Intel
1395,1395,CPU,45.0,95.0,107.0,820.0,3000,Intel
1396,1396,CPU,32.0,35.0,81.0,382.0,2534,Intel
1397,1397,CPU,32.0,45.0,216.0,1160.0,2400,Intel
1398,1398,CPU,45.0,65.0,82.0,228.0,3200,Intel
1399,1399,CPU,90.0,89.0,220.0,154.0,2200,AMD
1401,1401,CPU,32.0,65.0,131.0,504.0,2900,Intel
1402,1402,CPU,65.0,5.0,143.0,291.0,1200,Intel
1403,1403,CPU,22.0,54.0,177.0,1400.0,3500,Intel
1404,1404,CPU,45.0,125.0,258.0,758.0,2000,AMD
1405,1405,CPU,45.0,95.0,258.0,758.0,2800,AMD
1406,1406,CPU,12.0,65.0,192.0,4800.0,3200,AMD
1408,1408,CPU,7.0,180.0,74.0,3800.0,3700,AMD
1409,1409,CPU,45.0,150.0,107.0,820.0,3200,Intel
1410,1410,CPU,90.0,59.0,1.0,154.0,2200,AMD
1411,1411,CPU,65.0,150.0,435.0,1328.0,3333,Intel
1412,1412,CPU,65.0,65.0,143.0,291.0,2667,Intel
1413,1413,CPU,130.0,110.0,237.0,178.0,3200,Intel
1414,1414,CPU,45.0,65.0,82.0,228.0,3333,Intel
1416,1416,CPU,45.0,65.0,117.0,410.0,3300,AMD
1417,1417,CPU,65.0,95.0,285.0,450.0,2200,AMD
